POINT_ID,LC0_Desc,BDsample_0,coarse_mas,BDfine_0_2,coarse_vol,,
,Land Cover (Eurostat),BDsample_0_20_2018,coarse_mass_fraction,BDfine_0_20_2018_approx,coarse_volume_fraction_approx,,
46822808,Woodland,0.621,0.2,0.522,0.048,,
46902810,Cropland,1.228,0.3,1.002,0.142,,
45242722,Grassland,0.34,0.28,0.254,0.037,,
45282706,Grassland,0.809,0.17,0.709,0.053,,
45342706,Grassland,1.13,0.08,1.077,0.035,,
45442766,Woodland,0.662,0.14,0.59,0.036,,
45462760,Grassland,1.157,0.06,1.117,0.027,,
45502702,Grassland,1.21,0.25,1.027,0.116,,
45582678,Woodland,0.483,0.2,0.401,0.037,,
45622768,Grassland,0.794,0.06,0.76,0.018,,
45642750,Grassland,1.069,0.29,0.861,0.119,,
45882676,Woodland,0.396,0.06,0.376,0.009,,
45922694,Woodland,0.819,0.25,0.667,0.079,,
46082678,Woodland,0.495,0.13,0.441,0.025,,
43782660,Woodland,0.598,0.13,0.536,0.03,,
43802684,Grassland,0.717,0.15,0.635,0.041,,
43862700,Woodland,0.474,0.43,0.293,0.078,,
44042690,Woodland,0.852,0.35,0.626,0.115,,
44082690,Woodland,0.368,0.14,0.323,0.02,,
44102696,Woodland,0.536,0.25,0.423,0.051,,
44922728,Grassland,0.926,0.11,0.858,0.039,,
45002638,Woodland,0.364,0.15,0.316,0.021,,
43122714,Grassland,0.926,0.27,0.748,0.096,,
43202710,Woodland,0.788,0.14,0.707,0.042,,
43362694,Woodland,0.663,0.32,0.49,0.082,,
39123108,Cropland,1.219,0.04,1.193,0.019,,
39803096,Cropland,1.086,0.06,1.047,0.025,,
38523118,Grassland,0.734,0.04,0.712,0.011,,
39003046,Cropland,1.407,0.06,1.366,0.032,,
39783064,Cropland,1.17,0.03,1.15,0.014,,
39943050,Cropland,1.419,0.04,1.393,0.022,,
40243026,Woodland,0.547,0.41,0.353,0.086,,
39622978,Woodland,0.803,0.54,0.443,0.167,,
39383058,Cropland,1.29,0.09,1.229,0.045,,
39523056,Cropland,1.344,0.11,1.268,0.057,,
39602980,Woodland,0.793,0.39,0.549,0.119,,
39642992,Woodland,0.749,0.29,0.58,0.084,,
39663018,Grassland,1.206,0.25,1.023,0.116,,
39803036,Cropland,1.312,0.25,1.126,0.126,,
53242382,Grassland,1.347,0,1.347,0,,
53302384,Cropland,1.178,0,1.178,0,,
53322372,Grassland,1.272,0,1.272,0,,
53442394,Cropland,1.57,0,1.57,0,,
53462368,Grassland,1.093,0.02,1.08,0.008,,
53482384,Cropland,1.339,0,1.339,0,,
53482412,Cropland,1.205,0,1.205,0,,
53542386,Grassland,1.23,0,1.23,0,,
53782364,Cropland,1.5,0.02,1.487,0.012,,
53902362,Cropland,1.324,0,1.324,0,,
53942344,Cropland,1.201,0.01,1.195,0.005,,
53982330,Woodland,1.084,0.11,1.011,0.046,,
54002350,Artificial land,1.287,0.27,1.084,0.134,,
54062392,Cropland,1.387,0,1.387,0,,
54122350,Cropland,1.364,0.01,1.357,0.005,,
54122394,Cropland,1.251,0,1.251,0,,
54422324,Cropland,1.304,0,1.304,0,,
54422352,Cropland,1.281,0,1.281,0,,
54462372,Cropland,1.179,0,1.179,0,,
54482326,Woodland,1.276,0,1.276,0,,
54582368,Cropland,1.174,0,1.174,0,,
54662386,Cropland,1.219,0,1.219,0,,
54722380,Cropland,1.281,0.52,0.827,0.256,,
54842358,Cropland,1.584,0,1.584,0,,
54882406,Cropland,1.319,0,1.319,0,,
54902344,Cropland,1.328,0.17,1.207,0.087,,
54902386,Cropland,1.197,0,1.197,0,,
54902398,Cropland,1.349,0,1.349,0,,
55002378,Cropland,1.311,0,1.311,0,,
55102340,Cropland,1.365,0.02,1.352,0.011,,
55162404,Cropland,1.353,0,1.353,0,,
55182378,Cropland,1.334,0,1.334,0,,
55262344,Grassland,1.25,0.02,1.237,0.01,,
55282384,Cropland,1.285,0,1.285,0,,
55362364,Cropland,1.353,0.02,1.34,0.01,,
55342340,Grassland,1.319,0,1.319,0,,
55382340,Cropland,1.254,0,1.254,0,,
55462330,Woodland,1.286,0,1.286,0,,
55562340,Shrubland,1.189,0,1.189,0,,
55562362,Cropland,1.325,0,1.325,0,,
55602316,Woodland,1.362,0,1.362,0,,
55622354,Cropland,1.324,0.07,1.276,0.036,,
55622372,Cropland,1.229,0,1.229,0,,
55682392,Cropland,1.492,0,1.492,0,,
55702376,Grassland,1.252,0,1.252,0,,
55742358,Shrubland,1.174,0.22,1.016,0.099,,
55842354,Grassland,1.372,0.23,1.202,0.121,,
55842368,Cropland,1.341,0,1.341,0,,
55862392,Cropland,1.231,0,1.231,0,,
55902418,Cropland,1.327,0,1.327,0,,
56042438,Grassland,1.381,0,1.381,0,,
56082364,Cropland,1.373,0,1.373,0,,
56102380,Woodland,1.086,0,1.086,0,,
56102412,Cropland,1.495,0,1.495,0,,
56222438,Cropland,1.292,0,1.292,0,,
56282430,Cropland,1.345,0,1.345,0,,
56302450,Cropland,1.364,0,1.364,0,,
56382434,Cropland,1.36,0.03,1.34,0.016,,
56502448,Cropland,1.451,0,1.451,0,,
56582460,Cropland,1.353,0,1.353,0,,
56642422,Cropland,1.499,0,1.499,0,,
56662432,Cropland,1.397,0.13,1.307,0.07,,
56682466,Cropland,1.347,0,1.347,0,,
56702444,Cropland,1.346,0,1.346,0,,
56742462,Grassland,1.241,0,1.241,0,,
56962458,Cropland,1.187,0,1.187,0,,
57022486,Cropland,1.215,0,1.215,0,,
56142406,Cropland,1.312,0,1.312,0,,
56162386,Woodland,1.228,0.7,0.55,0.331,,
56202386,Grassland,1.121,0.6,0.605,0.259,,
56322406,Cropland,1.316,0.02,1.303,0.01,,
56462398,Cropland,1.432,0,1.432,0,,
56502370,Cropland,1.376,0.02,1.362,0.011,,
56602362,Woodland,1.376,0,1.376,0,,
56782386,Cropland,1.363,0,1.363,0,,
56822416,Grassland,1.296,0,1.296,0,,
56862420,Cropland,1.298,0,1.298,0,,
56922404,Cropland,1.176,0,1.176,0,,
56922416,Woodland,1.162,0,1.162,0,,
57022450,Cropland,1.26,0,1.26,0,,
57062390,Cropland,1.171,0,1.171,0,,
57082394,Cropland,1.303,0,1.303,0,,
57342364,Grassland,1.358,0.04,1.331,0.021,,
57382392,Cropland,1.096,0,1.096,0,,
57382428,Cropland,1.347,0.01,1.34,0.005,,
57382436,Woodland,1.147,0,1.147,0,,
57422462,Cropland,1.354,0,1.354,0,,
57462398,Woodland,1.284,0,1.284,0,,
57462416,Woodland,1.144,0,1.144,0,,
57462440,Woodland,1.06,0,1.06,0,,
57542404,Cropland,1.299,0,1.299,0,,
57542430,Cropland,1.292,0,1.292,0,,
57642434,Cropland,1.304,0,1.304,0,,
57722448,Cropland,1.206,0,1.206,0,,
57742428,Shrubland,1.177,0.02,1.164,0.009,,
57802466,Cropland,1.214,0,1.214,0,,
57842460,Cropland,1.246,0,1.246,0,,
57842474,Cropland,1.081,0,1.081,0,,
55602298,Cropland,1.291,0.22,1.13,0.109,,
55722274,Woodland,1.141,0,1.141,0,,
55742250,Cropland,1.22,0,1.22,0,,
55742290,Cropland,1.406,0.01,1.4,0.005,,
56002258,Cropland,1.15,0.01,1.143,0.004,,
56002286,Grassland,1.132,0.15,1.029,0.065,,
56042258,Cropland,1.181,0.04,1.154,0.018,,
56102260,Cropland,1.156,0.24,0.983,0.107,,
56202314,Grassland,1.078,0.05,1.045,0.021,,
56282268,Cropland,1.365,0,1.365,0,,
56302302,Cropland,1.389,0,1.389,0,,
56462260,Cropland,1.239,0.01,1.232,0.005,,
56482284,Cropland,1.118,0,1.118,0,,
56562290,Grassland,1.272,0.38,0.969,0.186,,
